,name,price,size,reviews,rating,comment
115,Chandon California Brut Sparkling Wine (375 ML),$19.99,375 ml,0,0,
116,Moet & Chandon Rose Imperial (750 ML),$84.99,750 ml,2,4,MOËT AND CHANDON ROSE IMPERIAL
117,Scharffenberger Sparkling Brut NV (750 ML),$29.99,750 ml,0,0,
118,Brignac Brut Gold Ace Of Spades (750 ML),$449.99,750 ml,5,3.6,TRUE CRAFTSMANSHIP
119,"Gruet Brut Rose, New Mexico Sparkling (750 ML)",$22.99,750 ml,0,0,
120,Devaux Coeur des Bar Blanc de Blancs Champagne (750 ML),$79.99,750 ml,1,5,DELICIOUS! WOULD PAY MORE!
121,Chandon Blanc de Pinot Noir Sparkling Wine (750 ML),$29.99,750 ml,3,5,GREAT BUBBLY TO GO WITH DINNER
122,Lanson Brut Rose Champagne (750 ML),$79.99,750 ml,0,0,
123,La Baume Chardonnay Brut White (750 ML),$17.99,750 ml,0,0,
124,Cuillier Brut Rose Champagne (750 ML),$49.99,750 ml,0,0,
125,Martini & Rossi Asti (750 ML),$17.99,750 ml,2,4.5,MAYBE IT'S FOR THE BEST THAT THIS ISN'T THE CHEAPEST...
126,Martini & Rossi Asti 1.5L NV (1.5 LTR),$29.99,1.5 ltr,1,4,STOCK IT UP !!!
127,Santa Margherita Prosecco (750 ML),$27.99,750 ml,1,5,ELEGANT WITH APPLES AND CREAM
128,Blanc de Bleu Cuvee Mousseux (750 ML),$26.99,750 ml,4,4.5,TOO SWEET!!!
129,Luisant Sparkling Brut NV (750 ML),$26.99,750 ml,7,5,GREAT SPARKLER AT A GREAT PRICE!
130,Poema Brut Rose (750 ML),$19.99,750 ml,0,0,
131,Coppola Sofia Brut Rose (750 ML),$24.99,750 ml,0,0,
132,Francis Coppola Sofia Blanc de Blancs (750 ML),$24.99,750 ml,0,0,
133,Kim Crawford Prosecco Extra Dry (750 ML),$24.99,750 ml,0,0,
134,Schramsberg Blanc de Noirs (750 ML),$49.99,750 ml,2,4,DRINKABLE
135,Roederer Estate L'Ermitage Brut (750 ML),$89.99,750 ml,0,0,
136,Conundrum Sparkling (750 ML),$29.99,750 ml,0,0,
137,Stella Rosa Imperial Prosecco Rose (750 ML),$33.99,750 ml,0,0,
138,Juicy Sparkle Strawberry Prosecco (750 ML),$21.99,750 ml,0,0,
139,Moet & Chandon Nectar Imperial Rose (750 ML),$89.99,750 ml,2,5,NAME SAYS IT ALL - SWEET AND PINK
140,Ohza Classic Bellini (4PK 12 OZ),$15.99,4pk 12 oz,0,0,
141,Ohza Classic Mimosa 4pk 12 oz cans (4PK 12 OZ),$12.99,4pk 12 oz,1,4,GOOD TASTE
142,Korbel Champagne Brut (1.5 LTR),$29.99,1.5 ltr,0,0,
143,Korbel Champagne Blanc de Noirs (750 ML),$17.99,750 ml,0,0,
0,Sleight Of Hand Illusionist Cabernet Sauvignon (750 ML),$59.99,750 ml,0,0,
1,Gramercy Cellars Syrah The Deuce (750 ML),$69.99,750 ml,0,0,
2,Buzzballz Lime Rita (187 ML),$3.99,187 ml,0,0,
3,MARK RYAN RED MONKEY WRENCH (750 ML),$37.99,750 ml,0,0,
4,Buzzballz Choco Chiller (187 ML),$3.99,187 ml,0,0,
5,Loco Lopez Sangria 1.5L (1.5 LTR),$14.99,1.5 ltr,0,0,
6,Claffey's Frozen Cocktails 12 Variety Pack (12PK 187 ML),$26.99,12pk 187 ml,3,5,AWESOME!
7,J Vineyard California Pinot Noir 375mL (375 ML),$19.99,375 ml,0,0,
13,Cupcake Moscato d'Asti (750 ML),$16.99,750 ml,0,0,
14,Ozeki Sparkling Hana Awaka Sake (250 ML),$8.99,250 ml,0,0,
15,Long Shadows Sequel Syrah (750 ML),$69.99,750 ml,0,0,
16,Long Shadows Feather Columbia Valley Cabernet Sauvignon (750 ML),$79.99,750 ml,0,0,
17,Vietti Barbera d'Asti (750 ML),$19.99,750 ml,0,0,
18,Tenet GSM Red Blend (750 ML),$89.99,750 ml,0,0,
19,Sleight of Hand Levitation Syrah (750 ML),$59.99,750 ml,0,0,
20,Delas Crozes Hermitage (750 ML),$39.99,750 ml,0,0,
22,Settecieli Chianti Classico (750 ML),$24.98,750 ml,0,0,
23,SETTECIELI PINOT NERO (750 ML),$15.98,750 ml,0,0,
24,Sleight Of Hand Illusionist Cabernet Sauvignon (750 ML),$59.99,750 ml,0,0,
25,Gramercy Cellars Syrah The Deuce (750 ML),$69.99,750 ml,0,0,
26,Buzzballz Lime Rita (187 ML),$3.99,187 ml,0,0,
28,Buzzballz Choco Chiller (187 ML),$3.99,187 ml,0,0,
29,Loco Lopez Sangria 1.5L (1.5 LTR),$14.99,1.5 ltr,0,0,
30,Claffey's Frozen Cocktails 12 Variety Pack (12PK 187 ML),$26.99,12pk 187 ml,3,5,AWESOME!
31,J Vineyard California Pinot Noir 375mL (375 ML),$19.99,375 ml,0,0,
32,House Wine Casa-Rita (375 ML),$6.99,375 ml,0,0,
33,House Wine Paloma (375 ML),$6.99,375 ml,0,0,
34,House Wine Ginger Mule (375 ML),$6.99,375 ml,0,0,
35,House Wine Cranberry Cosmo (375 ML),$6.99,375 ml,0,0,
36,Sutter Home Pinot Grigio (4PK 187 ML),$7.99,4pk 187 ml,0,0,
37,Cupcake Moscato d'Asti (750 ML),$16.99,750 ml,0,0,
38,Ozeki Sparkling Hana Awaka Sake (250 ML),$8.99,250 ml,0,0,
39,Long Shadows Sequel Syrah (750 ML),$69.99,750 ml,0,0,
40,Long Shadows Feather Columbia Valley Cabernet Sauvignon (750 ML),$79.99,750 ml,0,0,
41,Vietti Barbera d'Asti (750 ML),$19.99,750 ml,0,0,
42,Tenet GSM Red Blend (750 ML),$89.99,750 ml,0,0,
43,Sleight of Hand Levitation Syrah (750 ML),$59.99,750 ml,0,0,
44,Delas Crozes Hermitage (750 ML),$39.99,750 ml,0,0,
46,Settecieli Chianti Classico (750 ML),$24.98,750 ml,0,0,
47,SETTECIELI PINOT NERO (750 ML),$15.98,750 ml,0,0,
48,Sleight Of Hand Illusionist Cabernet Sauvignon (750 ML),$59.99,750 ml,0,0,
49,Gramercy Cellars Syrah The Deuce (750 ML),$69.99,750 ml,0,0,
50,Buzzballz Lime Rita (187 ML),$3.99,187 ml,0,0,
51,MARK RYAN RED MONKEY WRENCH (750 ML),$37.99,750 ml,0,0,
52,Buzzballz Choco Chiller (187 ML),$3.99,187 ml,0,0,
53,Loco Lopez Sangria 1.5L (1.5 LTR),$14.99,1.5 ltr,0,0,
54,Claffey's Frozen Cocktails 12 Variety Pack (12PK 187 ML),$26.99,12pk 187 ml,3,5,AWESOME!
55,J Vineyard California Pinot Noir 375mL (375 ML),$19.99,375 ml,0,0,
56,House Wine Casa-Rita (375 ML),$6.99,375 ml,0,0,
57,House Wine Paloma (375 ML),$6.99,375 ml,0,0,
58,House Wine Ginger Mule (375 ML),$6.99,375 ml,0,0,
59,House Wine Cranberry Cosmo (375 ML),$6.99,375 ml,0,0,
60,Sutter Home Pinot Grigio (4PK 187 ML),$7.99,4pk 187 ml,0,0,
61,Cupcake Moscato d'Asti (750 ML),$16.99,750 ml,0,0,
62,Ozeki Sparkling Hana Awaka Sake (250 ML),$8.99,250 ml,0,0,
63,Long Shadows Sequel Syrah (750 ML),$69.99,750 ml,0,0,
64,Long Shadows Feather Columbia Valley Cabernet Sauvignon (750 ML),$79.99,750 ml,0,0,
65,Vietti Barbera d'Asti (750 ML),$19.99,750 ml,0,0,
66,Tenet GSM Red Blend (750 ML),$89.99,750 ml,0,0,
67,Sleight of Hand Levitation Syrah (750 ML),$59.99,750 ml,0,0,
68,Delas Crozes Hermitage (750 ML),$39.99,750 ml,0,0,
69,Sea Sun Pinot Noir (750 ML),$24.99,750 ml,0,0,
70,Settecieli Chianti Classico (750 ML),$24.98,750 ml,0,0,
71,SETTECIELI PINOT NERO (750 ML),$15.98,750 ml,0,0,
72,Sleight Of Hand Illusionist Cabernet Sauvignon (750 ML),$59.99,750 ml,0,0,
73,Gramercy Cellars Syrah The Deuce (750 ML),$69.99,750 ml,0,0,
74,Buzzballz Lime Rita (187 ML),$3.99,187 ml,0,0,
75,MARK RYAN RED MONKEY WRENCH (750 ML),$37.99,750 ml,0,0,
76,Buzzballz Choco Chiller (187 ML),$3.99,187 ml,0,0,
77,Loco Lopez Sangria 1.5L (1.5 LTR),$14.99,1.5 ltr,0,0,
78,Claffey's Frozen Cocktails 12 Variety Pack (12PK 187 ML),$26.99,12pk 187 ml,3,5,AWESOME!
79,J Vineyard California Pinot Noir 375mL (375 ML),$19.99,375 ml,0,0,
80,House Wine Casa-Rita (375 ML),$6.99,375 ml,0,0,
81,House Wine Paloma (375 ML),$6.99,375 ml,0,0,
82,House Wine Ginger Mule (375 ML),$6.99,375 ml,0,0,
83,House Wine Cranberry Cosmo (375 ML),$6.99,375 ml,0,0,
84,Sutter Home Pinot Grigio (4PK 187 ML),$7.99,4pk 187 ml,0,0,
85,Cupcake Moscato d'Asti (750 ML),$16.99,750 ml,0,0,
86,Ozeki Sparkling Hana Awaka Sake (250 ML),$8.99,250 ml,0,0,
87,Long Shadows Sequel Syrah (750 ML),$69.99,750 ml,0,0,
88,Long Shadows Feather Columbia Valley Cabernet Sauvignon (750 ML),$79.99,750 ml,0,0,
89,Vietti Barbera d'Asti (750 ML),$19.99,750 ml,0,0,
90,Tenet GSM Red Blend (750 ML),$89.99,750 ml,0,0,
91,Sleight of Hand Levitation Syrah (750 ML),$59.99,750 ml,0,0,
92,Delas Crozes Hermitage (750 ML),$39.99,750 ml,0,0,
93,Sea Sun Pinot Noir (750 ML),$24.99,750 ml,0,0,
94,Settecieli Chianti Classico (750 ML),$24.98,750 ml,0,0,
95,SETTECIELI PINOT NERO (750 ML),$15.98,750 ml,0,0,
96,Sleight Of Hand Illusionist Cabernet Sauvignon (750 ML),$59.99,750 ml,0,0,
97,Gramercy Cellars Syrah The Deuce (750 ML),$69.99,750 ml,0,0,
98,Buzzballz Lime Rita (187 ML),$3.99,187 ml,0,0,
99,MARK RYAN RED MONKEY WRENCH (750 ML),$37.99,750 ml,0,0,
100,Buzzballz Choco Chiller (187 ML),$3.99,187 ml,0,0,
101,Loco Lopez Sangria 1.5L (1.5 LTR),$14.99,1.5 ltr,0,0,
102,Claffey's Frozen Cocktails 12 Variety Pack (12PK 187 ML),$26.99,12pk 187 ml,3,5,AWESOME!
103,J Vineyard California Pinot Noir 375mL (375 ML),$19.99,375 ml,0,0,
104,House Wine Casa-Rita (375 ML),$6.99,375 ml,0,0,
105,House Wine Paloma (375 ML),$6.99,375 ml,0,0,
106,House Wine Ginger Mule (375 ML),$6.99,375 ml,0,0,
107,House Wine Cranberry Cosmo (375 ML),$6.99,375 ml,0,0,
108,Sutter Home Pinot Grigio (4PK 187 ML),$7.99,4pk 187 ml,0,0,
109,Cupcake Moscato d'Asti (750 ML),$16.99,750 ml,0,0,
110,Ozeki Sparkling Hana Awaka Sake (250 ML),$8.99,250 ml,0,0,
111,Long Shadows Sequel Syrah (750 ML),$69.99,750 ml,0,0,
112,Long Shadows Feather Columbia Valley Cabernet Sauvignon (750 ML),$79.99,750 ml,0,0,
113,Vietti Barbera d'Asti (750 ML),$19.99,750 ml,0,0,
114,Tenet GSM Red Blend (750 ML),$89.99,750 ml,0,0,
115,Sleight of Hand Levitation Syrah (750 ML),$59.99,750 ml,0,0,
116,Delas Crozes Hermitage (750 ML),$39.99,750 ml,0,0,
117,Sea Sun Pinot Noir (750 ML),$24.99,750 ml,0,0,
118,Settecieli Chianti Classico (750 ML),$24.98,750 ml,0,0,
119,SETTECIELI PINOT NERO (750 ML),$15.98,750 ml,0,0,
120,Sleight Of Hand Illusionist Cabernet Sauvignon (750 ML),$59.99,750 ml,0,0,
121,Gramercy Cellars Syrah The Deuce (750 ML),$69.99,750 ml,0,0,
122,Buzzballz Lime Rita (187 ML),$3.99,187 ml,0,0,
123,MARK RYAN RED MONKEY WRENCH (750 ML),$37.99,750 ml,0,0,
124,Buzzballz Choco Chiller (187 ML),$3.99,187 ml,0,0,
125,Loco Lopez Sangria 1.5L (1.5 LTR),$14.99,1.5 ltr,0,0,
126,Claffey's Frozen Cocktails 12 Variety Pack (12PK 187 ML),$26.99,12pk 187 ml,3,5,AWESOME!
127,J Vineyard California Pinot Noir 375mL (375 ML),$19.99,375 ml,0,0,
128,House Wine Casa-Rita (375 ML),$6.99,375 ml,0,0,
129,House Wine Paloma (375 ML),$6.99,375 ml,0,0,
130,House Wine Ginger Mule (375 ML),$6.99,375 ml,0,0,
131,House Wine Cranberry Cosmo (375 ML),$6.99,375 ml,0,0,
132,Sutter Home Pinot Grigio (4PK 187 ML),$7.99,4pk 187 ml,0,0,
133,Cupcake Moscato d'Asti (750 ML),$16.99,750 ml,0,0,
134,Ozeki Sparkling Hana Awaka Sake (250 ML),$8.99,250 ml,0,0,
135,Long Shadows Sequel Syrah (750 ML),$69.99,750 ml,0,0,
136,Long Shadows Feather Columbia Valley Cabernet Sauvignon (750 ML),$79.99,750 ml,0,0,
137,Vietti Barbera d'Asti (750 ML),$19.99,750 ml,0,0,
138,Tenet GSM Red Blend (750 ML),$89.99,750 ml,0,0,
139,Sleight of Hand Levitation Syrah (750 ML),$59.99,750 ml,0,0,
140,Delas Crozes Hermitage (750 ML),$39.99,750 ml,0,0,
141,Sea Sun Pinot Noir (750 ML),$24.99,750 ml,0,0,
142,Settecieli Chianti Classico (750 ML),$24.98,750 ml,0,0,
