,name,price,size,reviews,rating,comment
34,Quady VYA Sweet Vermouth 375ML (375 ML),$17.99,375 ml,0,0,
35,Twirl Moscato (750 ML),$17.98,750 ml,5,3.6,APRICOTS AND ALCOHOL?
36,Tropical Passion Fruit Moscato (750 ML),$19.99,750 ml,1,5,SURPRISINGLY GOOD!
37,Harveys Bristol Cream Sherry (750 ML),$22.99,750 ml,1,5,BEST SHERRY AT REASONABLE PRICE POINT
38,Gallo Dry Vermouth (750 ML),$7.99,750 ml,4,2.3,DESPERATE?
39,Warre's Warrior Port (750 ML),$22.99,750 ml,0,0,
40,Dow's Fine Tawny Port (750 ML),$21.99,750 ml,0,0,
41,Dow's Fine Ruby Port (750 ML),$21.99,750 ml,2,3,TERRIBLE
42,Taylor Fladgate Tawny Port (750 ML),$17.99,750 ml,0,0,
43,"Yalumba Antique Tawny Port, Barossa Valley, Australia (375 ML)",$24.99,375 ml,5,4.6,GREAT
44,Warre's Heritage Ruby Port (750 ML),$19.99,750 ml,0,0,
45,Dow's Late Bottled Vintage Port (750 ML),$29.99,750 ml,1,4,LOVE THE HINT OF CHERRIES
46,Warre's Late Bottled Vintage Port (750 ML),$44.99,750 ml,0,0,
47,Fonseca Late Bottled Vintage Port (750 ML),$29.99,750 ml,0,0,
48,Taylor 10 Year Old Tawny Port (750 ML),$39.99,750 ml,3,3.3,PASS
49,Fonseca 10 Year Old Tawny Port (750 ML),$44.99,750 ml,0,0,
50,"Hidden Legend Elderberry Mead, Montana (750 ML)",$26.99,750 ml,0,0,
51,Chaucers Mead (Honey Wine from California) (750 ML),$19.99,750 ml,8,4.1,DON'T CALL THIS WINE!
52,Dow's 10 Year Old Tawny Port (750 ML),$49.99,750 ml,0,0,
53,Dansk Mjod Viking Blod Mead (750 ML),$44.99,750 ml,0,0,
54,Dansk Mjod GI (750 ML),$44.99,750 ml,0,0,
55,"Hidden Legend Pure Honey Mead, Montana (750 ML)",$24.99,750 ml,0,0,
56,Cocchi Vermouth di Torino (750 ML),$32.99,750 ml,0,0,
57,Dow's Boardroom Tawny Port (750 ML),$39.99,750 ml,0,0,
58,"Blandy's Rainwater Madeira (from Madeira, Portugal) (750 ML)",$24.99,750 ml,0,0,
59,Sheffield Cellars Very Dry Sherry (750 ML),$10.99,750 ml,0,0,
60,Mamapeach Moscato (750 ML),$19.99,750 ml,0,0,
61,Stella Rosa Pineapple (750 ML),$16.99,750 ml,1,5,KEEP IT UP
62,Stella Rosa Watermelon (750 ML),$16.99,750 ml,1,5,FIVE STARS FOR WHAT IT IS!
63,"Graham's Six Grapes Reserve Port (Douro, Portugal) (750 ML)",$34.99,750 ml,6,4.2,SYRUP
64,Graham's 20 Year Old Tawny Port (750 ML),$89.99,750 ml,1,5,SMOOTH AND TASTY
65,Graham's 10 Year Old Tawny Port (750 ML),$44.99,750 ml,1,5,BEST PORT FROM PORTO!
66,Mogen David Concord (750 ML),$7.99,750 ml,1,5,LOVE IT
67,Pasek Cellars Raspberry Wine (750 ML),$16.99,750 ml,0,0,
68,Pasek Cellars Blackberry Wine (750 ML),$16.99,750 ml,1,5,"A LOVELY, LOVELY WINE."
69,Sandeman Founder's Reserve Ruby Port (750 ML),$29.99,750 ml,3,4.3,FULL BODIED. VERY SMOOTH
70,Lillet Rouge (750 ML),$29.99,750 ml,1,5,BEST OF THE 3 LILLETS
71,Stella Rosa Red Apple (750 ML),$16.99,750 ml,1,5,WOULD BUY AGAIN
72,Hartley & Gibson Amontillado Sherry (750 ML),$23.99,750 ml,0,0,
73,Fonseca Tawny Port (750 ML),$22.99,750 ml,0,0,
74,Fonseca Ruby Port (750 ML),$22.99,750 ml,0,0,
75,Taylor Fladgate Ruby Port (750 ML),$24.99,750 ml,0,0,
76,Fonseca 20 Year Old Tawny Port (750 ML),$69.99,750 ml,0,0,
77,Dolin De Chambery Dry Vermouth (375 ML),$22.99,375 ml,0,0,
78,Dolin De Chambery Rouge (750 ML),$27.99,750 ml,0,0,
79,Dolin De Chambery Dry (750 ML),$27.99,750 ml,0,0,
80,Dolin De Chambery Rouge (375 ML),$22.99,375 ml,0,0,
81,Fonseca Bin No. 27 Port (750 ML),$20.99,750 ml,4,3.8,OVER-RATED. SMOOTH BUT EXTREMELY SWEET.
0,Emeri Sparkling Moscato (750 ML),$14.99,750 ml,0,0,
1,Gruet Cuvee 89 Sparkling Rose (750 ML),$24.98,750 ml,10,4.5,WONDERFUL
2,Joseph Perrier Cuvee Royale Brut Champagne (750 ML),$54.99,750 ml,6,4.2,"LOVED IT, GREAT TASTE."
3,Rigallo Rose Brachetto D' Acqui (750 ML),$29.98,750 ml,2,3.5,DELICIOUS SWEET WINE
4,Jam Cellars Toast Sparkling (750 ML),$29.99,750 ml,0,0,
5,Michelle Brut Rose (750 ML),$16.99,750 ml,0,0,
6,Blanc de Bleu Cuvee Mousseux 187mL (187 ML),$6.99,187 ml,0,0,
7,Dolce Vita Rose (750 ML),$17.98,750 ml,2,5,LOVELY ROSE
8,Cupcake Prosecco 187 ML 3 Pack (187 ML),$17.99,187 ml,0,0,
9,Princesa Brut Rose (750 ML),$21.98,750 ml,2,5,AWESOME!
10,La Marca Prosecco (3PK 187 ML),$19.99,3pk 187 ml,0,0,
11,Ruffino Sparkling Rose (750 ML),$16.99,750 ml,0,0,
12,14 Hands Brut Rose Sparkling (750 ML),$15.99,750 ml,0,0,
13,House Wine Rose Bubbles (375 ML),$6.99,375 ml,1,5,"YES, IT CAN !"
14,Haton Blanc de Blancs (750 ML),$49.99,750 ml,0,0,
15,Bollicini Sparkling Cuvee (4PK 250ML),$13.99,4pk 250ml,1,5,MY FAV NOW!
16,Ruffino Prosecco (3PK 187 ML),$19.99,3pk 187 ml,0,0,
17,Marques de Caceres Cava Brut (750 ML),$14.99,750 ml,0,0,
18,Freixenet Prosecco DOC (750 ML),$22.99,750 ml,2,5,LOVE IT
19,Joseph Perrier Brut Royale Champagne NV (200 ML),$18.99,200 ml,0,0,
20,Veuve Ambal Rose Cremant de Bourgogne (750 ML),$33.98,750 ml,4,3.8,I HAVE PURCHASED THIS IN THE PAST AND I AM DEFINITELY PURCHASING IT AGAIN. THIS IS A SPARKLING THAT CAN BE SERVED TO IMPRESS.
21,Ruffino Prosecco (375 ML),$11.99,375 ml,0,0,
22,Souffle Sparkling Demi Sec (750 ML),$24.98,750 ml,3,5,TRY IT!
23,Underwood Rose Bubbles (375 ML),$7.99,375 ml,0,0,
24,Emeri Sparkling Moscato (750 ML),$14.99,750 ml,0,0,
25,Gruet Cuvee 89 Sparkling Rose (750 ML),$24.98,750 ml,10,4.5,WONDERFUL
26,Joseph Perrier Cuvee Royale Brut Champagne (750 ML),$54.99,750 ml,6,4.2,"LOVED IT, GREAT TASTE."
27,Rigallo Rose Brachetto D' Acqui (750 ML),$29.98,750 ml,2,3.5,DELICIOUS SWEET WINE
28,Jam Cellars Toast Sparkling (750 ML),$29.99,750 ml,0,0,
